epic_key,epic_title,epic_type,epic_summary,product_outcome,in_scope,acceptance_signals,constraints,epic_sync,source_confidence,priority,status,linked_story_keys,notes,last_reviewed
bubble-view:bubble-analysis,[Bubble] Bubble analysis surface,Analysis Surface,"Provide the Bubble view for comparing uploaded categorical and temporal data through sized colored and optionally collapsed bubble plots.","Analysts can inspect clustered or dated relationships through a bubble-based surface that stays connected to shared state.","build bubble plots from supported datasets; configure axes spacing sizing and collapsed aggregates; style bubbles; inspect and synchronize selection state; manage Bubble layout; export and restore Bubble state; review timeline changes","bubble plots remain interpretable as analysts change axes sizing and collapse behavior; selection and dashboard integration stay coherent; styling survives filtering and restoration flows; timeline behavior updates Bubble without corrupting shared state","Keep scope within the current desktop Bubble surface and client-side rendering path; do not expand into mobile charting redesign",false,High,P1,Draft,bubble-view:configure-controls;bubble-view:dashboard-integration;bubble-view:export-and-restore;bubble-view:interact-with-view;bubble-view:load-supported-data;bubble-view:manage-view-layout;bubble-view:style-rendering;bubble-view:timeline,Primary surface epic for the Bubble view.,2026-04-23
crosstab-view:categorical-crosstab-analysis,[Crosstab] Categorical crosstab analysis surface,Analysis Surface,"Provide the Crosstab view for pivoted categorical summaries with export and refresh behavior tied to active data state.","Analysts can compare categorical relationships through configurable crosstab tables without leaving the app.","build crosstab tables from supported datasets; configure axes pivoting proportions and size; refresh Crosstab after filtering changes; handle empty data; export and restore Crosstab state; review time-based changes","crosstab tables reflect the chosen fields and pivot state; filtering updates appear without stale counts or broken empty states; export and restore behavior keeps the view useful across sessions; timeline interactions remain isolated to the correct dataset","Keep scope within the existing client-side Crosstab surface and desktop table density; no mobile table optimization is required",false,High,P1,Draft,crosstab-view:configure-controls;crosstab-view:export-and-restore;crosstab-view:filter-refresh-data;crosstab-view:handle-empty-data;crosstab-view:load-supported-data;crosstab-view:timeline,Primary surface epic for the Crosstab view.,2026-04-23
dashboard:multi-view-analysis-workspace,[Dashboard] Multi-view analysis workspace,Workspace,"Provide the composition workspace that lets analysts arrange multiple MicrobeTrace views into one synchronized desktop dashboard.","Analysts can compare multiple surfaces side by side and keep layout export filtering style and timeline behavior coherent.","manage dashboard layout and pane lifecycle; propagate shared filtering and styling; export dashboard output; save and restore dashboard state; isolate timeline targets correctly","dashboard panes open resize close and restore without breaking connected views; shared styling and filtering propagate intentionally; dashboard export reflects the configured layout; timeline changes stay isolated to the intended targets","Treat Dashboard as a desktop-first workspace rather than a responsive mobile surface; keep scope inside existing client-side pane composition",false,High,P0,Draft,dashboard:export-output;dashboard:filter-refresh-data;dashboard:manage-view-layout;dashboard:save-restore-state;dashboard:style-rendering;dashboard:timeline,Primary workspace epic for the Dashboard surface.,2026-04-23
epi-curve:epidemic-curve-analysis,[Epi Curve] Epidemic curve analysis surface,Analysis Surface,"Provide the Epi Curve surface for date-driven outbreak summaries including interval controls multi-date comparisons and exported output.","Analysts can examine time-based case distributions from uploaded datasets without leaving the app.","build Epi Curve data from supported uploads; configure date fields intervals and single-date controls; compare multi-date series in side-by-side or overlay modes; style bars; export and restore Epi Curve state","date-backed datasets produce interpretable Epi Curves; interval and single-date controls remain stable; multi-date comparisons stay chronologically meaningful; exports and restored state reflect the configured desktop view","Keep scope within the current client-side Epi Curve surface and its export dialogs; no mobile chart optimization is required",false,High,P1,Draft,epi-curve:configure-controls;epi-curve:export-and-restore;epi-curve:load-supported-data;epi-curve:multi-date;epi-curve:style-rendering,Primary surface epic for the Epi Curve view.,2026-04-23
gantt-chart:date-range-analysis,[Gantt Chart] Date-range analysis surface,Analysis Surface,"Provide the Gantt Chart surface for turning uploaded date fields into configurable duration or point-in-time entries.","Analysts can inspect date ranges and single-date milestones through a client-side chart without external scheduling tools.","build Gantt entries from supported date fields; configure entry display colors opacity grid spacing and font size; manage view layout; export Gantt outputs; map date ranges single dates and fallback entry names","supported date fields create interpretable Gantt rows; entry controls update the rendered chart predictably; exports reflect the configured chart state; switching away and back does not leave broken empty-state behavior","Treat this as a desktop analytical surface rather than a project-management scheduler; do not expand scope into mobile planning workflows or backend calendars",false,High,P1,Draft,gantt-chart:configure-controls;gantt-chart:export-output;gantt-chart:load-supported-data;gantt-chart:manage-view-layout;gantt-chart:map-render-data,Primary surface epic for the Gantt Chart view.,2026-04-23
heatmap-view:distance-heatmap-analysis,[Heatmap] Distance heatmap analysis surface,Analysis Surface,"Provide the Heatmap view for examining uploaded distance data through configurable matrix rendering and exported outputs.","Analysts can inspect pairwise distance structure through a heatmap surface that responds predictably to global settings and restored state.","build heatmaps from supported datasets; configure labels inversion colors and centering; manage Heatmap layout; export and restore Heatmap state; preserve cross-feature behavior under shared settings","supported distance datasets produce interpretable heatmaps; global settings such as color and distance metric remain coherent with the heatmap rendering; saved or reopened Heatmap state restores correctly; export fidelity matches the current visible matrix","Keep scope within the existing client-side Heatmap surface and desktop interactions; no mobile heatmap redesign is required",false,High,P1,Draft,heatmap-view:configure-controls;heatmap-view:cross-feature;heatmap-view:export-and-restore;heatmap-view:load-supported-data;heatmap-view:manage-view-layout;heatmap-view:save-restore-state,Primary surface epic for the Heatmap view.,2026-04-23
map-view:geographic-analysis,[Map] Geographic analysis surface,Analysis Surface,"Provide the Map surface for placing nodes geographically and inspecting filtered clustered and styled network behavior against geographic layers.","Analysts can review geographic spread and relationships on map layers using the same client-side data and controls that power other views.","place uploaded nodes by ZIP code or coordinates; configure node link and viewport controls; inspect and select geographic features; keep Map synchronized with filtering; manage basemap satellite and offline layers; style nodes and links; export and restore Map state; review timeline changes","supported geographic datasets render against the intended layers; selection filtering and styling remain coherent with shared app state; map controls remain usable on desktop with dense analytical interactions; exported or restored state preserves the expected geographic context","Assume current optional basemap and satellite integrations only; do not expand this epic into broader geocoding products or mobile map UX",false,High,P0,Draft,map-view:configure-controls;map-view:export-and-restore;map-view:filter-refresh-data;map-view:interact-with-view;map-view:load-supported-data;map-view:map-layers;map-view:map-render-data;map-view:style-rendering;map-view:timeline,Primary surface epic for the Map view.,2026-04-23
phylogenetic-view:tree-analysis,[Phylogenetic Tree] Tree analysis surface,Analysis Surface,"Provide the Phylogenetic Tree surface for building styling exporting and interacting with tree-based views from supported sequence and tree datasets.","Analysts can inspect and adjust phylogenetic structure from the client-side app without leaving the analysis workflow.","build trees from supported datasets; configure tree layout labels and branch controls; render metadata on leaves and branches; interact with selections and tree mutations; export tree outputs; manage and restore tree state","supported sequence or tree datasets produce usable trees; layout and styling controls remain coherent with rendered metadata; selection and mutation flows do not leave stale tree state; exported or restored tree state reflects the current desktop view","Keep scope inside the existing client-side tree surface and current interaction model; no mobile tree editor work is required",false,High,P0,Draft,phylogenetic-view:configure-controls;phylogenetic-view:export-and-restore;phylogenetic-view:export-output;phylogenetic-view:interact-with-view;phylogenetic-view:load-supported-data;phylogenetic-view:manage-view-layout;phylogenetic-view:map-render-data;phylogenetic-view:save-restore-state;phylogenetic-view:style-rendering,Primary surface epic for the Phylogenetic Tree view.,2026-04-23
sankey-view:flow-analysis,[Sankey] Flow analysis surface,Analysis Surface,"Provide the Sankey view for mapping categorical flow relationships with field selection styling and interactive inspection.","Analysts can compare categorical transitions and flow weights through a client-side Sankey surface.","build Sankey diagrams from supported datasets; configure field mappings and flow controls; combine mapping and styling settings; inspect rendered nodes and links; export and restore Sankey state","supported datasets produce interpretable Sankey flows; field mapping and style controls stay coherent together; link and node inspection reflects the configured flow state; exported or restored Sankey outputs preserve intended desktop behavior","Keep scope within the existing client-side Sankey surface and current desktop control density; do not add mobile-specific Sankey UX",false,High,P1,Draft,sankey-view:combo;sankey-view:configure-controls;sankey-view:export-and-restore;sankey-view:interact-with-view;sankey-view:load-supported-data;sankey-view:style-rendering,Primary surface epic for the Sankey view.,2026-04-23
table-view:tabular-analysis,[Table] Tabular analysis surface,Analysis Surface,"Provide the Table surface for inspecting node link and cluster data with configurable filtering sorting pagination and exports.","Analysts can use Table as the canonical tabular inspection surface while keeping it synchronized with other views.","open node link cluster and derived tables from supported datasets; filter sort paginate and choose columns; synchronize table state with other views; use Table inside Dashboard layouts; export table outputs","table datasets remain aligned with the active filtered analysis state; sorting pagination and column choices stay predictable on desktop; cross-view selection updates keep Table useful as a companion surface; exports reflect the promised row and column scope","Keep scope inside the existing client-side data tables and dashboard embedding model; no mobile table layout optimization is required",false,High,P0,Draft,table-view:configure-controls;table-view:cross-view;table-view:dashboard-integration;table-view:export-output;table-view:load-supported-data,Primary surface epic for the Table view.,2026-04-23
waterfall-view:cluster-drilldown-analysis,[Waterfall] Cluster drilldown analysis surface,Analysis Surface,"Provide the Waterfall view for drilling from clusters into nodes and links while preserving synchronization with timeline filtering and dashboard state.","Analysts can inspect cluster drilldowns without stale detail state and keep Waterfall aligned with shared app context.","build Waterfall data from supported datasets; inspect cluster node and link detail rows; clear stale drilldown state during selection changes; react to filtering and timeline updates; manage Waterfall layout; save and restore Waterfall state; use Waterfall inside Dashboard","cluster drilldowns remain internally consistent as upstream selection changes; filtering and timeline updates refresh Waterfall without stale summaries; dashboard and restore flows preserve the intended drilldown behavior; empty states remain intentional and understandable","Keep scope within the current client-side Waterfall drilldown experience and desktop layouts; do not extend into mobile drilldown redesign",false,High,P1,Draft,waterfall-view:dashboard-integration;waterfall-view:filter-refresh-data;waterfall-view:handle-empty-data;waterfall-view:interact-with-view;waterfall-view:load-supported-data;waterfall-view:manage-view-layout;waterfall-view:save-restore-state;waterfall-view:timeline;waterfall-view:waterfall-details,Primary surface epic for the Waterfall view.,2026-04-23
