story_key,story_title,epic,story_type,user_story,workflow_use_case,expected_behavior,acceptance_criteria,story_sync,source_confidence,priority,status,linked_qa_tracker_ids,tested_fixtures,tested_specs,test_coverage_notes,notes,last_reviewed
2d-network:preserve-cross-feature-network-contracts,[2D Network] Preserve cross-feature filtering and styling contracts,2D Network,Test Coverage,"As a MicrobeTrace user, I want to preserve cross-feature filtering and styling contracts, so that I can complete the covered analysis workflow reliably.",Exercise the covered 2D Network scenarios and verify the view reaches the expected state.,2D Network preserves the behavior covered by the linked QA tracker evidence.,"Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,2d-network:X001; 2d-network:X002; 2d-network:X003; 2d-network:C001; 2d-network:C002; 2d-network:C003,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; Cypress_Test_Style.style; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_Epi_linklist_BS.csv; AngularTesting_seqs_TN93_BS.nwk; AngularTesting_Distance_linklist_BS.csv; AngularTesting_DistanceMatrix_TN93_BS.xlsx; OracleSynthetic_distance_links.csv; OracleSynthetic_epi_links.csv; OracleSynthetic_nodes.csv; AngularTesting_seqs_TN93_BS.fasta,cypress/e2e/journeys/flows/style-node-label-tooltip.cy.ts; cypress/e2e/journeys/flows/mixed-origin-threshold-nn-reveal.cy.ts; cypress/e2e/journeys/flows/newick-link-labels.cy.ts; cypress/e2e/journeys/flows/behavior-contracts.cy.ts; cypress/e2e/journeys/flows/filtering-newick.contract.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor-angulartesting.contract.cy.ts; cypress/e2e/journeys/flows/filtering-oracle.contract.cy.ts,"Grouped from 6 QA tracker row(s): Style + node labels and tooltips; Mixed-origin threshold + nearest neighbor + reveal; Newick + 2D link labels; Reciprocal width orientation; Filtering contracts beyond threshold; Filtering oracle exact membership. Source areas: Cross-Feature, Contracts.",Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:configure-controls,"[Map] Configure geographic node, link, and viewport controls",Map,Settings/Controls,"As a MicrobeTrace user, I want to configure the Map view controls, so that I can adjust the analysis view and immediately see the correct result.",Use the covered controls for the Map view and verify each setting updates the rendered view or session state without corrupting data membership.,"Map control changes are reflected in the rendered view, maintain stable membership, and preserve documented control state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,map-view:M005; map-view:M006; map-view:M007; map-view:M008; map-view:M013; map-view:M017; map-view:M018,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-controls-uploaded.cy.ts; cypress/e2e/journeys/flows/map-jitter-uploaded.cy.ts; cypress/e2e/journeys/flows/map-navigation-uploaded.cy.ts,"Grouped from 7 QA tracker row(s): Node collapsing on/off; Node transparency; Link transparency; Node and link hide/show; Node jitter and reroll; Pan and center; Zoom controls. Source areas: Map Settings, Map Controls.",Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:export-and-restore,[Map] Export and restore Map outputs and state,Map,Export,"As a MicrobeTrace user, I want to export the Map view outputs in supported formats, so that I can save and share analysis results outside the app.","Configure the Map view as needed, use the supported export actions, and verify the exported files or restored state match the current view.","Map exports supported formats without stale downloads, missing content, or mismatched view state. Session or restore paths preserve the configured state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,map-view:M022; map-view:M023,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-export-uploaded.cy.ts; cypress/e2e/journeys/flows/map-tab-persistence-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Map export to PNG; Map-tab persistence for selected layers. Source areas: Export And Persistence.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:filter-refresh-data,[Map] Keep Map synchronized with filtering changes,Map,Session Persistence,"As a MicrobeTrace user, I want to filter and refresh the Map view without stale results, so that I can trust that visible data matches the active analysis controls.","Change the covered filtering, threshold, cluster, or refresh controls and verify the Map view immediately reflects the current visible data.","Map recomputes rendered nodes, links, rows, or summaries from the active filters and clears stale state when the visible data changes.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,map-view:M003,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-zipcode-threshold.cy.ts,Grouped from 1 QA tracker row(s): Threshold round-trip on Map. Source areas: Filtering.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:interact-with-view,[Map] Inspect and select geographic nodes and links,Map,Visualization Behavior,"As a MicrobeTrace user, I want to interact with the Map view data directly, so that I can inspect, select, and drill into the data shown in the view.","Select, hover, pan, zoom, expand, or otherwise interact with the rendered data in the Map view and verify the app updates the expected detail state.","Map interactions expose correct tooltips, selections, drilldowns, and synchronized state without leaking stale selections or rows.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,map-view:M019; map-view:M020; map-view:M021,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv,cypress/e2e/journeys/flows/map-tooltips-uploaded.cy.ts; cypress/e2e/journeys/flows/map-selection-uploaded.cy.ts,Grouped from 3 QA tracker row(s): Node tooltip; Link tooltip; Node selection. Source areas: Map Interaction.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:load-supported-data,[Map] Place uploaded nodes by ZIP code or coordinates,Map,Data Processing,"As a MicrobeTrace user, I want to launch the Map view from supported uploaded datasets, so that I can start analysis without manually preparing intermediate files.","Load the supported file combinations listed in QA evidence, open the Map view, and confirm the rendered state reflects the uploaded data.","Map accepts covered file types, derives or maps required data, and renders a stable view with expected counts, labels, tables, or visual marks for each supported load path.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,map-view:M001; map-view:M012,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-zipcode-threshold.cy.ts; cypress/e2e/journeys/flows/map-direct-launch-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Uploaded node + link launch then switch to Map with zipcode mapping; Direct file launch to Map default view. Source areas: Load Map.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:map-layers,"[Map] Use Map basemap, satellite, and offline layers",Map,Settings/Controls,"As a MicrobeTrace user, I want to configure the Map view controls, so that I can adjust the analysis view and immediately see the correct result.",Use the covered controls for the Map view and verify each setting updates the rendered view or session state without corrupting data membership.,"Map control changes are reflected in the rendered view, maintain stable membership, and preserve documented control state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P2,Draft,map-view:M014; map-view:M015; map-view:M016,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-layers-uploaded.cy.ts; cypress/e2e/journeys/flows/map-tab-persistence-uploaded.cy.ts,Grouped from 3 QA tracker row(s): Offline layer toggles; Basemap layer presence; Toggle Satellite. Source areas: Map Layers.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:map-render-data,[Map] Handle nodes with missing or explicit location data,Map,Data Processing,"As a MicrobeTrace user, I want to map and render data fields in the Map view, so that I can inspect the right labels, ranges, and derived values for my dataset.","Configure the covered data-field, label, sizing, or rendering options and verify the Map view displays the expected data.","Map maps covered data fields into the rendered view accurately and keeps labels, dimensions, and derived values synchronized with the selected options.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,map-view:M002; map-view:M004,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_nodes_Map.csv,cypress/e2e/journeys/flows/map-zipcode-threshold.cy.ts; cypress/e2e/journeys/flows/map-lat-long-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Excluded nodes without location data; Uploaded latitude/longitude mapping. Source areas: Map Data.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:style-rendering,[Map] Style geographic nodes and links by uploaded fields,Map,Settings/Controls,"As a MicrobeTrace user, I want to style the Map view from uploaded data and controls, so that I can visually distinguish data categories and preserve presentation choices.","Apply style files, color mappings, or styling controls to covered datasets and verify the Map view reflects the selected visual encoding.","Map applies covered colors, labels, sizes, shapes, and style-table edits consistently through filtering, grouping, timeline, and restore paths where applicable.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,map-view:M010; map-view:M011; map-view:M024; map-view:M025; map-view:M026; map-view:M027,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv; COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp_weighted.csv; Cypress_Test_Style.style,cypress/e2e/journeys/flows/map-color-by-uploaded.cy.ts; cypress/e2e/journeys/flows/map-fixed-colors-uploaded.cy.ts; cypress/e2e/journeys/flows/map-cluster-recompute-uploaded.cy.ts; cypress/e2e/journeys/flows/map-style-file-uploaded.cy.ts,Grouped from 6 QA tracker row(s): Uploaded node and link color mappings on Map; Targeted color table edits on Map; Fixed node color on Map; Fixed link color on Map; Threshold-driven cluster color recompute on Map; Style file reflected on Map. Source areas: Styling.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
map-view:timeline,[Map] Explore geographic changes over time,Map,Settings/Controls,"As a MicrobeTrace user, I want to inspect time-based changes in the Map view, so that I can understand how the visible data changes over time.","Apply timeline controls to the covered datasets, play or scrub checkpoints, and verify the Map view updates only the intended target state.","Map keeps timeline membership, colors, and non-target view behavior consistent with the covered checkpoint expectations.","Given the linked QA tracker scenarios, when the user performs the covered Map workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,map-view:M009; map-view:M028; map-view:M029; map-view:M030; map-view:M031,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/map-timeline-oracle.cy.ts; cypress/e2e/journeys/flows/map-timeline-controls-uploaded.cy.ts; cypress/e2e/journeys/flows/map-timeline-color-persistence-uploaded.cy.ts,Grouped from 5 QA tracker row(s): Deterministic Map timeline checkpoints; Play/pause progression on Map; Color persistence after timeline ends; Manual slider checkpoints on Map; Node-color persistence after timeline ends. Source areas: Timeline.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
dashboard:export-output,[Dashboard] Export Dashboard outputs,Dashboard,Export,"As a MicrobeTrace user, I want to export the Dashboard view outputs in supported formats, so that I can save and share analysis results outside the app.","Configure the Dashboard view as needed, use the supported export actions, and verify the exported files or restored state match the current view.","Dashboard exports supported formats without stale downloads, missing content, or mismatched view state. Session or restore paths preserve the configured state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Dashboard workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,dashboard:DB008; dashboard:DB009,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/dashboard-export-uploaded.cy.ts,Grouped from 2 QA tracker row(s): PNG dashboard export dialog flow; Export after nontrivial layout and root state change. Source areas: Dashboard Export.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
dashboard:filter-refresh-data,[Dashboard] Keep Dashboard synchronized with filtering changes,Dashboard,Settings/Controls,"As a MicrobeTrace user, I want to filter and refresh the Dashboard view without stale results, so that I can trust that visible data matches the active analysis controls.","Change the covered filtering, threshold, cluster, or refresh controls and verify the Dashboard view immediately reflects the current visible data.","Dashboard recomputes rendered nodes, links, rows, or summaries from the active filters and clears stale state when the visible data changes.","Given the linked QA tracker scenarios, when the user performs the covered Dashboard workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,dashboard:DB005,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/dashboard-filtering-propagation-uploaded.cy.ts,Grouped from 1 QA tracker row(s): Threshold minimum-cluster and reveal propagation. Source areas: Dashboard Filtering.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
dashboard:manage-view-layout,[Dashboard] Manage Dashboard layout and navigation state,Dashboard,Visualization Behavior,"As a MicrobeTrace user, I want to use the Dashboard view within the app layout, so that I can navigate, resize, and restore the view without losing context.","Open, close, resize, switch, or restore the Dashboard view through the covered layout paths and verify the view remains usable.","Dashboard remains stable through layout, dashboard, navigation, and hidden-pane lifecycle changes.","Given the linked QA tracker scenarios, when the user performs the covered Dashboard workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,dashboard:DB001; dashboard:DB002; dashboard:DB003,dashboard-layout-core.microbetrace; dashboard-pane-lifecycle-core.microbetrace,cypress/e2e/view-state/dashboard-layout-core.cy.ts; cypress/e2e/view-state/dashboard-pane-lifecycle-core.cy.ts,"Grouped from 3 QA tracker row(s): 2x2 Golden Layout splitter mechanics; Close and reopen resilience; Hide show and resize lifecycle for data-table views. Source areas: Dashboard Layout, Dashboard Lifecycle.",Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
dashboard:save-restore-state,[Dashboard] Save and restore Dashboard state,Dashboard,Session Persistence,"As a MicrobeTrace user, I want to save and restore the Dashboard view state, so that I can resume analysis without rebuilding the view manually.","Configure the Dashboard view, save or reload the session state, and confirm the restored app returns to the expected view configuration.","Dashboard preserves covered settings, selected data, and rendered state across session save and reload workflows.","Given the linked QA tracker scenarios, when the user performs the covered Dashboard workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,dashboard:DB007,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; runtime-saved .microbetrace,cypress/e2e/journeys/flows/dashboard-session-roundtrip-uploaded.cy.ts,Grouped from 1 QA tracker row(s): Saved dashboard round-trip restoration. Source areas: Dashboard Persistence.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
dashboard:style-rendering,[Dashboard] Style Dashboard rendering,Dashboard,Settings/Controls,"As a MicrobeTrace user, I want to style the Dashboard view from uploaded data and controls, so that I can visually distinguish data categories and preserve presentation choices.","Apply style files, color mappings, or styling controls to covered datasets and verify the Dashboard view reflects the selected visual encoding.","Dashboard applies covered colors, labels, sizes, shapes, and style-table edits consistently through filtering, grouping, timeline, and restore paths where applicable.","Given the linked QA tracker scenarios, when the user performs the covered Dashboard workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,dashboard:DB004,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/dashboard-global-styling-uploaded.cy.ts,Grouped from 1 QA tracker row(s): Global styling propagation across open views. Source areas: Dashboard Styling.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
dashboard:timeline,[Dashboard] Explore time-based changes in Dashboard,Dashboard,Settings/Controls,"As a MicrobeTrace user, I want to inspect time-based changes in the Dashboard view, so that I can understand how the visible data changes over time.","Apply timeline controls to the covered datasets, play or scrub checkpoints, and verify the Dashboard view updates only the intended target state.","Dashboard keeps timeline membership, colors, and non-target view behavior consistent with the covered checkpoint expectations.","Given the linked QA tracker scenarios, when the user performs the covered Dashboard workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,dashboard:DB006,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/dashboard-timeline-propagation-uploaded.cy.ts,Grouped from 1 QA tracker row(s): Timeline target vs non-target isolation. Source areas: Dashboard Timeline.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
table-view:configure-controls,"[Table] Filter, sort, paginate, and choose table columns",Table,Settings/Controls,"As a MicrobeTrace user, I want to configure the Table view controls, so that I can adjust the analysis view and immediately see the correct result.",Use the covered controls for the Table view and verify each setting updates the rendered view or session state without corrupting data membership.,"Table control changes are reflected in the rendered view, maintain stable membership, and preserve documented control state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Table workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,table-view:T008; table-view:T009; table-view:T010; table-view:T011; table-view:T012; table-view:T016; table-view:T018; table-view:T019; table-view:T020; table-view:T021; table-view:T022; table-view:T024; table-view:T025; table-view:T026; table-view:T030,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv; AngularTesting_Epi_linklist_BS.csv; AngularTesting_Distance_linklist_BS.csv,cypress/e2e/journeys/flows/table-selection-uploaded.cy.ts; cypress/e2e/journeys/flows/table-controls-uploaded.cy.ts; cypress/e2e/journeys/flows/table-columns-uploaded.cy.ts; cypress/e2e/journeys/flows/table-filter-operators-uploaded.cy.ts; cypress/e2e/journeys/flows/table-refresh-uploaded.cy.ts,"Grouped from 15 QA tracker row(s): Nodes, Links, and Clusters dataset switch; Node filter on uploaded data; Link filter on uploaded data; Node row selection and selected-row reorder; Table settings size control; Column multiselect show and hide; String filter operators on node data; Numeric filter operators on link and cluster data; plus 7 additional covered scenarios. Source areas: Table Controls.",Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
table-view:cross-view,[Table] Synchronize Table behavior with other views,Table,User Workflow,"As a MicrobeTrace user, I want to synchronize Table behavior with other views, so that I can complete the covered analysis workflow reliably.",Exercise the covered Table scenarios and verify the view reaches the expected state.,Table preserves the behavior covered by the linked QA tracker evidence.,"Given the linked QA tracker scenarios, when the user performs the covered Table workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,table-view:T017; table-view:T023,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv; AngularTesting_Distance_linklist_BS.csv,cypress/e2e/journeys/flows/table-refresh-uploaded.cy.ts,Grouped from 2 QA tracker row(s): Selection initiated outside Table reorders node rows; Table stays in sync while filtering changes outside Table. Source areas: Cross-View.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
table-view:dashboard-integration,[Table] Use Table inside Dashboard layouts,Table,Session Persistence,"As a MicrobeTrace user, I want to use the Table view within the app layout, so that I can navigate, resize, and restore the view without losing context.","Open, close, resize, switch, or restore the Table view through the covered layout paths and verify the view remains usable.","Table remains stable through layout, dashboard, navigation, and hidden-pane lifecycle changes.","Given the linked QA tracker scenarios, when the user performs the covered Table workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,table-view:T031,dashboard-layout-core.microbetrace; COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/view-state/dashboard-layout-core.cy.ts; cypress/e2e/journeys/flows/dashboard-filtering-propagation-uploaded.cy.ts,Grouped from 1 QA tracker row(s): Dashboard Table pane restore and filtering synchronization. Source areas: Dashboard.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
table-view:export-output,[Table] Export Table outputs,Table,Export,"As a MicrobeTrace user, I want to export the Table view outputs in supported formats, so that I can save and share analysis results outside the app.","Configure the Table view as needed, use the supported export actions, and verify the exported files or restored state match the current view.","Table exports supported formats without stale downloads, missing content, or mismatched view state. Session or restore paths preserve the configured state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Table workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,table-view:T013; table-view:T014; table-view:T027; table-view:T028,Cypress_MapColorNodes.csv; Cypress_MapColorLinks.csv,cypress/e2e/journeys/flows/table-export-uploaded.cy.ts,Grouped from 4 QA tracker row(s): Export Current-column CSV; Export All-column XLSX; Filtered export only includes filtered rows; Full export matrix across file types and column scopes. Source areas: Export.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
table-view:load-supported-data,"[Table] Open node, link, cluster, and derived tables from supported datasets",Table,Data Processing,"As a MicrobeTrace user, I want to launch the Table view from supported uploaded datasets, so that I can start analysis without manually preparing intermediate files.","Load the supported file combinations listed in QA evidence, open the Table view, and confirm the rendered state reflects the uploaded data.","Table accepts covered file types, derives or maps required data, and renders a stable view with expected counts, labels, tables, or visual marks for each supported load path.","Given the linked QA tracker scenarios, when the user performs the covered Table workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,table-view:T001; table-view:T002; table-view:T003; table-view:T004; table-view:T005; table-view:T006; table-view:T007; table-view:T015; table-view:T029,COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_DistanceMatrix_TN93_BS.xlsx; SARSCoV2_Simulated_Sequences_snp.fas; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_seqs_TN93_BS.nwk; LargeDataSet_Test_sequences_node.csv; Large_Dataset_forTesting_epiLinks.csv; none,cypress/e2e/journeys/flows/table-load-uploaded.cy.ts; cypress/e2e/journeys/flows/table-direct-launch-uploaded.cy.ts; cypress/e2e/journeys/flows/table-empty-state.cy.ts,Grouped from 9 QA tracker row(s): Distance edgelist launch then switch to Table; Distance matrix launch then switch to Table; FASTA launch then switch to Table; Node list + link list launch then switch to Table; Sequence node list launch then switch to Table; Newick launch then switch to Table; Large uploaded data switch to Table; Direct file launch to Table default view; plus 1 additional covered scenarios. Source areas: Load Table.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
aggregate-view:configure-controls,"[Aggregate] Add, sort, resize, and configure aggregate tables",Aggregate,Settings/Controls,"As a MicrobeTrace user, I want to configure the Aggregate view controls, so that I can adjust the analysis view and immediately see the correct result.",Use the covered controls for the Aggregate view and verify each setting updates the rendered view or session state without corrupting data membership.,"Aggregate control changes are reflected in the rendered view, maintain stable membership, and preserve documented control state where covered.","Given the linked QA tracker scenarios, when the user performs the covered Aggregate workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,aggregate-view:AG007; aggregate-view:AG008; aggregate-view:AG010; aggregate-view:AG011; aggregate-view:AG012; aggregate-view:AG013; aggregate-view:AG019,demo session sample dataset; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; AngularTesting_Epi_linklist_BS.csv,cypress/e2e/view-state/aggregate-view.cy.ts; cypress/e2e/journeys/flows/aggregate-view-uploaded.cy.ts; cypress/e2e/journeys/flows/aggregate-controls-uploaded.cy.ts,Grouped from 7 QA tracker row(s): Sample-data field switch and add-table flow; Sample-data delete-table flow; Sparse categorical node-field normalization; Table reorder controls; Default Add Table uses Node-selected; Cluster dataset field group and rendering; Field option hygiene and internal-field exclusion. Source areas: Aggregate Settings.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
